suhu,kelembaban,kelembaban_tanah,intensitas_cahaya,label
23.13,60.79,78.92,69.05,0
30.18,67.95,64.34,28.52,0
17.09,88.44,54.63,31.13,0
35.18,84.77,45.21,20.58,0
20.52,79.97,79.14,31.94,0
32.5,82.28,32.96,81.42,1
20.65,47.56,53.19,99.75,0
25.73,62.8,44.67,38.69,0
30.82,32.5,63.57,73.79,1
34.71,60.09,17.78,55.15,1
25.67,57.07,61.93,47.37,0
22.12,71.92,57.12,86.48,0
28.94,75.7,72.13,13.73,0
30.31,55.98,21.59,67.44,1
15.57,77.8,34.13,44.03,1
18.14,35.15,71.25,65.74,0
20.48,45.5,15.27,82.36,1
21.66,65.6,56.23,48.07,0
25.16,44.03,52.65,61.89,0
20.04,64.06,59.57,77.42,0
20.86,78.05,54.64,41.93,0
28.33,80.11,55.78,91.39,0
29.32,35.04,34.22,77.74,1
25.94,84.79,69.29,33.37,0
22.24,37.27,77.81,23.15,0
33.86,78.31,38.73,81.33,1
28.06,64.81,67.98,95.01,0
26.55,85.32,29.19,15.6,1
17.39,87.16,34.42,54.29,1
28.65,74.24,76.4,47.32,0
24.66,54.43,77.3,13.3,0
16.85,71.04,50.08,97.63,0
32.06,56.8,58.37,67.5,0
17.23,63.59,19.83,78.69,1
17.6,83.66,14.93,86.93,1
27.96,31.37,15.64,80.65,1
30.11,61.58,63.08,52.87,0
33.93,32.56,66.37,87.59,1
24.99,53.67,59.18,54.23,0
16.14,47.0,56.18,59.31,0
27.26,36.22,60.84,86.47,0
23.95,43.3,36.96,50.98,1
22.82,38.75,74.59,16.28,0
31.07,63.0,52.97,60.71,0
30.11,81.94,61.95,96.87,0
28.0,43.72,22.11,86.39,1
32.05,88.0,68.63,65.55,0
20.19,40.33,61.05,37.87,0
23.26,38.23,56.08,12.6,0
21.99,72.85,65.15,61.2,0
28.42,46.1,58.28,53.32,0
23.77,46.54,59.0,53.9,0
14.91,47.91,28.24,22.6,1
18.85,53.12,60.31,55.39,0
15.92,31.2,75.09,87.51,0
17.42,31.58,36.53,81.71,1
31.79,44.41,53.12,56.99,0
18.77,60.48,22.64,56.21,1
31.4,44.44,24.67,27.43,1
30.41,60.07,64.1,78.52,0
27.06,81.8,55.57,23.36,0
15.68,60.77,34.75,51.04,1
32.16,67.19,48.36,51.59,0
30.85,68.67,35.5,53.21,1
21.62,72.8,47.74,25.55,0
18.01,52.47,33.68,46.94,1
16.54,35.83,59.5,35.95,0
22.13,65.16,24.08,41.58,1
34.07,48.75,39.81,81.49,1
28.57,61.45,56.67,47.82,0
33.53,59.52,29.33,22.65,1
31.97,82.65,17.33,39.97,1
31.56,76.18,67.76,24.64,0
23.92,46.91,63.96,50.37,0
31.66,51.85,76.45,98.63,1
34.08,79.15,67.46,22.51,0
17.31,80.53,70.73,35.3,0
23.6,86.31,28.99,50.6,1
20.15,90.01,39.52,12.83,1
17.39,47.42,68.88,72.15,0
16.81,45.38,68.88,59.18,0
20.98,32.48,42.69,81.55,1
15.26,61.04,30.47,22.84,1
28.31,35.14,78.84,16.15,0
22.56,57.72,56.61,98.14,0
29.49,67.24,65.19,76.48,0
18.63,77.06,44.76,72.86,0
23.7,48.04,17.86,28.44,1
25.72,45.48,64.33,27.03,0
17.88,51.97,73.29,76.89,0
25.18,85.04,48.86,82.43,0
25.72,49.38,20.13,69.67,1
22.53,32.32,72.03,42.18,0
16.68,68.7,38.26,82.21,1
30.49,31.97,19.44,80.17,1
28.66,86.96,39.08,78.83,1
19.88,36.87,62.58,54.67,0
23.92,89.4,33.92,92.44,1
33.32,56.53,20.55,70.94,1
26.27,83.62,70.63,74.07,0
16.95,42.11,23.9,81.44,1
26.53,66.94,20.63,38.11,1
31.42,34.61,78.05,68.19,0
30.54,68.8,26.38,96.59,1
17.91,40.32,36.37,74.19,1
19.81,68.14,50.81,20.93,0
33.94,39.59,57.88,75.18,1
15.72,32.99,56.61,62.05,0
24.94,67.93,34.01,95.9,1
16.16,33.7,43.39,53.8,1
29.55,81.71,78.22,21.74,0
20.23,44.99,21.04,36.48,1
18.46,49.64,52.56,38.14,0
21.64,31.11,76.29,55.04,0
24.93,83.29,57.46,52.74,0
29.62,75.53,38.84,45.63,1
25.27,75.48,33.66,98.91,1
30.6,50.35,76.03,77.49,1
17.85,50.0,45.62,51.24,0
18.09,89.77,63.09,37.14,0
21.48,79.03,39.24,70.87,1
29.04,31.87,45.93,97.26,1
27.01,39.88,56.07,65.31,0
33.62,36.78,16.14,38.51,1
33.05,82.08,62.65,15.77,0
25.35,48.68,26.53,92.31,1
27.61,71.66,54.38,27.78,0
20.77,47.19,28.91,73.74,1
20.95,37.63,59.44,44.48,0
20.75,47.01,61.4,40.87,0
25.89,86.07,59.99,22.52,0
25.84,67.88,18.68,46.7,1
26.39,85.72,41.15,94.62,0
21.5,68.79,74.24,18.49,0
33.68,41.0,72.24,25.82,0
33.24,87.8,74.8,89.39,0
21.13,89.7,50.28,54.14,0
16.94,39.99,45.12,33.22,1
30.47,40.54,70.24,90.9,1
18.46,38.17,36.29,32.78,1
21.23,72.94,15.36,68.64,1
22.92,59.77,73.6,73.12,0
27.54,43.25,23.6,23.84,1
24.16,62.51,58.54,29.24,0
23.5,72.27,20.08,60.85,1
17.7,49.77,48.41,20.47,0
30.73,57.17,48.67,51.34,0
22.46,78.83,63.04,62.54,0
33.6,34.41,75.96,13.33,0
28.29,55.63,79.41,44.61,0
27.91,62.4,57.51,41.53,0
19.63,30.25,16.51,37.18,1
20.18,50.38,33.23,94.29,1
29.92,82.56,16.11,28.75,1
15.69,74.8,40.7,31.09,0
20.88,79.12,62.37,38.5,0
17.43,70.06,29.75,37.46,1
27.96,55.8,47.5,97.32,0
23.3,39.3,39.27,78.11,1
31.17,84.52,51.3,96.8,0
28.16,85.02,69.83,18.5,0
27.28,82.48,27.21,78.92,1
22.12,87.04,16.5,94.32,1
19.9,66.54,28.17,92.4,1
21.78,46.18,48.3,55.09,0
33.01,51.89,41.67,61.06,0
26.46,55.39,24.91,39.84,1
28.84,45.43,68.07,97.28,1
18.43,73.36,46.3,92.05,0
31.85,87.05,58.17,79.0,0
15.35,60.46,39.24,65.59,1
14.91,63.58,15.29,57.96,1
28.08,78.02,73.83,19.66,0
31.21,46.1,41.29,43.3,0
28.94,80.47,57.37,87.29,0
16.06,30.85,26.21,55.35,1
17.28,62.08,17.74,28.57,1
16.02,85.96,73.27,61.18,0
26.32,74.8,61.07,46.18,0
22.42,84.28,36.79,78.01,1
34.33,33.49,43.87,85.38,1
30.46,31.63,33.21,99.26,1
28.89,69.85,20.15,65.33,1
28.84,67.54,62.89,38.36,0
20.45,37.86,26.71,50.25,1
16.65,65.77,35.67,45.07,1
32.98,88.33,51.98,25.26,0
15.84,55.83,42.12,53.71,0
27.32,41.57,22.07,37.72,1
22.07,49.72,67.83,87.8,0
18.81,49.05,77.69,97.26,0
19.46,52.63,68.16,45.41,0
28.84,62.94,76.74,51.74,0
31.51,77.48,41.75,55.15,0
30.68,34.44,79.82,53.32,0
25.91,77.58,37.95,90.86,1
28.64,51.48,56.95,14.24,0
34.33,55.85,15.77,33.36,1
23.92,53.31,64.73,62.58,0
22.96,87.52,22.5,94.37,1
24.48,58.37,43.79,72.32,0
32.47,68.62,58.69,24.45,0
25.88,87.65,30.0,45.98,1
27.49,41.55,53.75,45.3,0
16.08,36.06,71.44,27.19,0
25.64,68.19,54.15,65.14,0
30.86,71.99,33.95,65.11,1
18.3,71.49,47.89,47.78,0
28.86,68.36,79.81,59.89,0
16.39,52.01,15.63,22.28,1
28.28,54.47,69.85,53.78,0
20.74,62.52,25.98,50.77,1
17.61,76.05,68.73,43.06,0
34.59,36.64,68.9,77.47,1
31.07,56.65,79.7,79.66,0
28.92,67.67,25.35,22.38,1
20.41,62.09,36.4,73.85,1
29.0,36.21,77.95,80.34,1
32.58,45.16,61.23,84.64,1
20.75,54.45,44.4,66.8,0
33.23,52.42,77.0,39.69,0
24.2,69.57,38.21,15.41,1
20.44,79.69,36.8,62.2,1
15.59,36.33,65.89,50.86,0
34.31,41.8,60.19,21.65,0
27.76,44.92,38.98,91.54,1
19.66,68.96,60.47,10.28,0
15.11,71.37,67.68,98.82,0
29.25,36.42,35.62,88.92,1
35.01,38.51,49.71,10.89,1
17.61,54.3,59.88,87.49,0
22.46,87.38,35.5,22.68,1
27.31,76.54,59.9,86.32,0
30.41,47.73,18.16,90.81,1
27.31,61.33,78.91,98.89,0
22.58,70.49,64.14,95.66,0
15.93,33.63,66.22,55.8,0
16.46,62.21,54.75,35.28,0
25.91,53.01,56.43,85.34,0
31.88,33.58,20.41,49.35,1
29.48,37.62,61.04,73.42,1
29.18,40.4,23.52,79.83,1
31.22,45.9,19.11,73.97,1
24.6,64.09,39.12,32.69,1
25.15,32.53,70.74,32.44,0
32.07,62.99,74.32,76.88,0
20.83,34.35,39.54,55.67,1
34.43,33.96,45.28,34.92,1
18.98,63.92,34.75,66.32,1
18.41,83.94,64.16,31.91,0
31.95,82.98,77.04,9.74,0
26.09,44.5,46.57,15.81,1
33.42,60.77,60.15,43.16,0
31.86,34.23,51.67,48.96,0
30.79,71.62,62.5,38.91,0
26.6,39.36,26.15,51.65,1
21.35,46.23,22.99,23.73,1
31.57,49.68,21.11,32.1,1
35.06,31.61,41.25,51.0,1
17.43,31.04,68.85,98.56,0
27.42,64.5,32.23,83.09,1
17.12,84.27,68.58,39.91,0
31.11,53.41,16.6,71.27,1
32.46,31.99,55.3,31.68,0
20.62,38.36,28.27,89.91,1
34.77,77.33,38.34,58.89,1
18.87,48.69,29.73,90.65,1
30.49,89.74,78.62,19.43,0
16.42,89.64,29.6,86.53,1
18.94,65.08,67.6,73.23,0
26.65,63.78,27.04,98.91,1
16.31,44.38,28.92,57.01,1
28.86,85.21,70.3,39.4,0
32.37,81.54,77.04,43.42,0
18.19,39.6,76.34,81.73,0
28.96,85.41,65.96,30.28,0
17.44,74.22,77.14,94.92,0
27.11,85.7,77.53,30.13,0
19.35,89.15,26.05,90.07,1
23.69,45.52,30.72,15.99,1
29.53,88.19,72.1,54.36,0
31.85,69.4,59.46,24.46,0
34.27,34.5,26.45,43.38,1
27.32,66.48,46.77,12.45,0
17.25,42.56,27.11,72.53,1
19.4,32.84,52.09,85.38,0
27.91,65.8,27.56,12.66,1
20.76,53.89,46.48,69.88,0
22.11,56.52,31.68,52.11,1
28.82,35.23,37.4,59.07,1
31.34,55.5,49.78,87.6,0
33.36,73.04,47.76,90.66,0
30.45,40.0,78.91,97.98,1
23.47,90.25,56.18,84.64,0
22.72,54.21,36.48,34.98,1
25.54,55.43,42.38,23.76,0
26.1,35.97,33.48,58.19,1
27.29,32.44,32.44,23.34,1
22.03,43.77,63.79,92.68,0
20.98,59.13,60.73,18.78,0
31.2,45.88,42.41,68.34,0
29.85,81.84,68.37,56.01,0
32.36,83.1,16.63,27.31,1
33.37,72.41,32.43,83.65,1
22.54,65.49,26.21,88.74,1
29.64,71.4,33.99,45.15,1
27.47,70.94,32.76,46.36,1
32.98,69.15,53.88,11.23,0
27.61,55.4,39.65,41.71,1
23.29,36.01,48.4,69.72,1
21.11,36.85,18.91,99.16,1
33.25,48.23,25.05,78.99,1
28.71,70.6,61.8,68.87,0
15.93,72.21,52.22,27.38,0
33.47,70.69,47.66,85.69,0
17.24,45.7,67.38,78.25,0
21.94,74.41,34.75,81.28,1
23.98,82.37,52.93,95.35,0
22.27,47.6,18.42,86.95,1
33.41,57.44,35.7,74.09,1
27.36,30.55,32.77,78.77,1
17.23,66.75,55.71,46.0,0
22.15,31.02,36.07,84.74,1
28.96,50.33,23.7,44.32,1
21.2,74.17,53.61,40.81,0
22.09,41.03,76.85,92.27,0
29.83,64.92,26.36,42.75,1
25.85,32.43,79.84,69.49,0
22.8,62.97,45.64,23.94,0
28.58,45.8,54.58,21.96,0
17.04,36.4,27.61,28.18,1
21.34,32.19,46.77,28.86,1
32.73,80.13,58.71,23.02,0
20.08,43.47,78.94,36.18,0
20.41,78.35,34.87,76.82,1
28.39,40.61,37.83,49.71,1
18.54,54.4,77.85,34.61,0
31.38,36.44,60.17,15.37,0
30.9,70.23,26.97,44.52,1
34.38,37.39,74.59,19.98,0
29.16,71.15,65.06,61.74,0
25.21,71.88,21.37,69.44,1
31.92,63.16,79.56,15.26,0
32.86,34.04,46.68,31.82,1
23.01,44.46,44.79,81.73,1
25.0,68.7,21.26,47.21,1
27.55,48.73,47.91,28.17,0
19.43,57.42,51.63,65.39,0
30.65,43.1,37.21,84.89,1
16.14,39.46,24.24,74.2,1
33.82,53.18,44.62,80.75,1
31.91,65.78,64.82,50.54,0
25.59,32.92,76.22,85.17,0
26.67,74.21,23.35,44.75,1
35.05,85.43,64.51,34.26,0
23.46,72.36,63.86,37.34,0
27.5,42.23,56.05,36.3,0
33.78,60.09,60.11,39.08,0
28.13,55.4,63.92,85.75,0
15.76,38.38,58.35,27.74,0
31.32,71.75,33.79,78.19,1
29.53,82.17,63.56,60.3,0
28.77,85.4,40.24,95.62,0
20.36,67.65,65.96,88.46,0
30.57,62.59,53.9,80.04,0
18.67,40.48,48.03,44.03,1
19.75,49.66,60.68,24.36,0
27.17,70.0,46.7,61.26,0
18.71,33.68,47.56,47.15,1
21.67,52.14,29.52,78.22,1
15.29,70.26,44.43,91.59,0
21.46,84.74,76.84,45.05,0
22.9,77.86,43.98,14.39,0
17.91,87.55,50.24,11.02,0
23.96,36.51,50.1,73.69,1
29.53,38.78,45.14,39.91,1
26.63,43.59,31.33,45.1,1
25.78,68.69,54.77,78.46,0
17.39,77.15,34.48,17.95,1
24.78,62.05,24.32,44.83,1
28.42,85.3,66.73,75.69,0
17.91,30.11,54.03,58.75,0
21.54,54.48,57.32,55.82,0
19.06,78.47,70.36,86.67,0
20.8,33.87,21.01,75.46,1
16.95,67.29,73.31,38.68,0
25.82,51.62,35.28,48.79,1
24.1,80.37,23.59,75.77,1
26.39,40.19,54.47,85.52,0
32.73,34.12,19.98,11.58,1
27.3,84.35,51.13,58.78,0
19.43,76.34,62.56,36.19,0
27.92,80.89,67.37,64.94,0
33.96,69.42,77.62,76.22,0
16.66,52.03,17.75,28.56,1
15.95,89.17,36.4,73.1,1
26.04,40.77,57.51,42.75,0
33.13,60.96,38.04,88.1,1
17.49,39.62,19.87,68.13,1
17.35,43.8,67.44,74.48,0
31.33,31.48,17.34,61.69,1
16.22,45.56,26.22,96.46,1
28.73,47.37,20.24,50.76,1
27.18,77.44,68.55,26.21,0
23.68,65.14,30.3,44.7,1
23.51,38.51,21.54,52.83,1
17.68,59.33,23.75,64.46,1
25.17,52.52,18.11,57.56,1
26.38,74.12,64.48,72.44,0
31.87,47.21,72.28,46.86,0
17.17,30.29,57.2,72.05,0
19.85,81.48,42.79,42.82,0
30.43,58.75,38.91,60.15,1
29.66,81.5,57.52,77.02,0
23.22,49.97,51.25,72.24,0
16.39,38.44,74.76,48.72,0
22.9,89.16,55.35,57.21,0
28.11,56.12,27.64,69.22,1
25.06,43.4,25.67,13.74,1
30.61,51.42,40.25,62.34,0
21.15,79.56,74.58,41.02,0
33.2,64.07,31.77,47.09,1
31.13,87.6,72.41,83.25,0
30.36,75.54,77.01,50.91,0
16.08,67.84,80.08,70.94,0
15.37,80.25,30.71,18.8,1
24.98,51.4,73.54,34.22,0
18.7,73.88,71.85,28.27,0
17.25,85.48,58.97,69.25,0
25.04,67.61,46.99,99.17,0
32.87,47.12,29.41,61.94,1
25.53,53.82,59.57,25.92,0
15.35,42.4,52.81,39.03,0
24.14,66.99,38.66,55.24,1
20.32,40.39,23.29,61.57,1
23.29,53.16,24.16,96.32,1
35.2,80.76,48.67,74.92,0
22.94,71.56,18.85,83.08,1
21.74,63.24,75.94,33.66,0
19.26,64.41,57.37,25.7,0
29.86,83.02,39.44,36.09,1
21.32,67.54,51.88,86.22,0
20.77,46.41,56.77,34.5,0
34.54,55.0,27.39,12.28,1
16.98,40.06,21.22,15.64,1
30.45,35.38,31.87,23.72,1
20.21,67.75,23.89,85.29,1
24.47,88.97,50.34,34.19,0
26.98,68.0,56.14,60.61,0
25.55,78.09,43.22,43.24,0
32.38,51.08,45.47,10.26,0
23.48,47.49,30.09,10.54,1
18.03,74.15,40.07,44.32,0
33.44,78.76,59.41,35.97,0
18.42,47.5,56.09,65.12,0
15.76,62.31,27.31,18.94,1
18.31,60.11,37.19,38.33,1
21.88,80.18,76.83,14.74,0
32.1,78.78,69.11,20.92,0
29.77,32.49,44.93,79.57,1
21.68,49.4,55.65,13.94,0
18.59,83.38,70.96,29.27,0
20.06,37.46,66.27,10.9,0
22.55,35.8,25.75,18.35,1
15.82,68.41,61.07,81.52,0
30.32,78.19,43.15,27.77,0
24.4,55.94,34.0,72.97,1
20.08,79.54,74.24,59.67,0
22.03,29.56,56.83,44.39,0
19.66,73.28,57.79,58.56,0
27.28,48.92,56.99,19.57,0
32.54,42.46,46.71,18.91,1
28.6,45.79,38.52,64.53,1
32.85,35.24,66.98,15.33,0
28.74,79.22,32.72,14.12,1
16.97,73.26,49.68,26.73,0
29.84,54.87,22.02,67.86,1
17.99,41.32,41.04,40.23,1
21.57,89.42,36.33,43.56,1
26.02,43.3,64.72,93.25,0
30.02,88.78,53.52,56.31,0
31.89,31.36,68.48,72.5,1
17.96,32.35,37.85,22.77,1
17.06,54.28,74.34,76.41,0
28.59,64.8,74.07,63.15,0
16.03,76.62,37.99,83.27,1
27.94,65.94,15.28,80.01,1
18.22,60.04,29.3,14.64,1
24.73,42.91,33.91,45.04,1
22.61,34.74,47.68,79.63,1
27.79,41.34,55.32,76.03,1
33.33,35.2,58.76,47.64,0
21.04,88.9,54.6,99.43,0
18.61,51.98,64.7,87.18,0
31.99,79.16,15.42,72.15,1
25.74,42.46,48.65,33.48,1
15.04,64.76,58.42,14.03,0
15.83,69.64,15.7,45.34,1
15.26,82.52,56.81,30.62,0
32.29,62.32,26.64,54.81,1
25.44,49.87,40.7,23.87,0
34.94,60.47,68.09,65.85,0
26.26,46.4,24.74,91.21,1
26.9,68.0,30.19,31.46,1
26.14,42.77,23.82,58.93,1
25.12,38.55,80.14,97.64,0
26.53,87.14,22.96,38.96,1
23.67,55.11,43.57,94.32,0
16.9,41.15,64.29,64.81,0
28.75,51.66,59.94,52.77,0
31.57,59.75,23.45,27.16,1
22.83,74.97,79.72,78.57,0
24.7,49.04,44.98,32.09,0
21.28,67.07,63.55,63.46,0
24.05,79.52,17.99,99.68,1
25.22,67.64,18.53,36.17,1
23.09,67.12,18.5,56.75,1
16.9,76.64,75.91,72.33,0
26.56,72.95,28.53,51.22,1
29.23,37.44,22.3,50.74,1
25.5,87.4,39.68,44.41,1
17.92,81.94,26.89,74.03,1
27.65,36.81,23.51,28.61,1
25.96,30.32,72.29,30.99,0
27.06,45.01,50.13,65.43,0
28.4,32.0,70.92,69.58,1
23.53,40.79,58.97,64.68,0
23.91,64.61,75.43,17.95,0
23.74,62.8,34.06,22.13,1
29.05,67.21,22.09,75.86,1
33.49,89.2,34.16,64.65,1
17.59,63.44,48.89,67.08,0
34.2,30.44,16.86,66.79,1
22.79,49.73,51.21,67.67,0
21.34,60.24,36.28,10.67,1
15.75,40.95,36.78,40.56,1
24.47,67.92,72.9,58.57,0
31.74,47.67,62.31,38.69,0
32.29,51.7,78.15,35.58,0
26.67,53.58,53.5,87.35,0
23.73,59.54,30.25,50.28,1
30.22,76.65,74.37,49.63,0
33.12,74.32,49.36,80.24,0
28.75,37.99,61.6,51.78,0
28.29,65.68,20.82,51.83,1
26.24,48.51,72.81,38.82,0
17.48,38.97,32.49,11.22,1
21.11,38.06,60.9,35.33,0
23.48,37.36,45.52,70.47,1
27.04,65.38,69.67,73.16,0
28.38,61.64,78.6,78.44,0
24.33,57.07,59.21,74.28,0
27.5,85.06,40.87,72.92,0
15.28,58.79,37.95,51.14,1
17.21,79.35,66.82,39.23,0
23.15,67.09,50.93,97.74,0
30.42,56.28,65.75,59.44,0
26.54,59.52,53.17,52.12,0
16.27,36.52,68.07,79.01,0
30.84,82.88,73.36,67.28,0
22.62,64.75,28.13,71.14,1
33.46,55.59,79.35,40.89,0
17.1,47.85,39.32,59.26,1
32.12,81.76,30.17,73.08,1
25.79,70.17,46.21,26.59,0
34.46,70.43,23.71,16.39,1
34.76,35.37,56.85,47.35,0
18.45,60.25,50.99,50.58,0
31.98,44.07,48.09,47.04,1
28.74,37.02,46.78,72.63,1
30.17,57.87,20.33,90.55,1
16.11,67.86,67.15,38.09,0
25.71,58.45,62.49,47.43,0
33.02,74.94,61.92,60.29,0
34.39,78.54,55.93,35.59,0
17.26,46.53,70.85,10.93,0
23.92,78.77,32.34,72.91,1
16.68,39.2,75.98,23.61,0
23.65,68.4,28.96,75.71,1
18.6,53.96,34.47,77.36,1
24.92,38.66,71.75,11.53,0
29.11,32.39,75.07,67.73,0
21.59,46.3,21.64,69.13,1
26.45,41.74,37.1,72.46,1
14.96,35.65,21.45,49.66,1
17.29,86.45,57.89,84.81,0
32.19,38.26,58.06,91.19,1
20.49,57.79,75.78,67.89,0
30.67,49.29,25.36,16.22,1
34.54,45.99,43.32,54.25,0
18.29,76.34,28.8,67.47,1
26.08,45.18,44.42,90.85,0
20.34,72.44,73.79,61.65,0
31.38,77.31,66.37,58.59,0
26.25,86.23,38.79,70.96,1
25.96,87.8,19.91,50.91,1
22.81,41.32,59.82,90.81,0
29.8,38.39,27.11,74.82,1
21.65,61.57,68.78,50.73,0
15.81,37.27,67.84,69.71,0
26.74,85.46,17.82,22.29,1
28.83,38.13,26.15,14.17,1
27.12,78.79,22.22,54.67,1
31.71,89.01,58.73,39.52,0
30.48,75.49,53.47,40.39,0
25.67,56.67,75.28,13.94,0
14.9,59.37,15.8,26.06,1
31.29,76.38,59.92,28.99,0
27.66,32.38,26.98,54.84,1
14.69,44.0,22.9,57.76,1
19.08,76.52,58.04,35.35,0
24.63,40.36,58.49,13.71,0
31.53,75.18,18.1,76.62,1
17.15,83.4,62.07,63.17,0
30.95,49.44,21.09,76.37,1
24.64,83.32,24.06,93.73,1
27.83,88.09,27.78,21.8,1
24.28,40.56,37.47,89.89,1
18.76,88.2,71.07,17.87,0
31.49,46.58,62.53,76.65,1
27.32,38.48,52.26,10.73,0
15.99,61.82,45.89,81.88,0
15.04,74.05,76.34,21.92,0
20.62,72.15,71.04,77.63,0
23.24,77.75,38.65,52.18,1
22.1,32.01,42.98,34.57,1
17.06,83.03,63.21,14.54,0
22.37,66.72,38.97,25.48,1
35.06,44.4,22.84,52.77,1
30.08,43.3,37.49,33.91,1
24.9,61.63,22.77,74.01,1
30.56,87.11,67.53,94.26,0
32.73,47.5,77.18,20.22,0
25.46,67.27,33.9,97.21,1
27.63,47.94,19.24,88.37,1
22.05,69.1,36.16,63.21,1
17.62,77.83,26.43,32.95,1
22.27,57.14,26.29,93.51,1
28.4,69.8,24.6,31.17,1
18.53,63.62,17.29,38.19,1
20.68,85.18,41.12,54.45,0
29.74,88.33,36.98,73.97,1
26.42,39.01,51.97,92.02,0
18.13,63.0,34.62,45.7,1
27.6,64.53,29.48,94.16,1
28.25,35.35,48.71,27.91,1
22.09,38.66,70.35,43.74,0
32.98,35.56,62.1,50.29,0
34.49,55.02,72.98,22.54,0
32.61,88.79,19.21,96.82,1
22.93,63.03,61.05,78.03,0
15.9,79.54,68.77,36.85,0
20.41,87.75,69.14,52.52,0
29.25,44.25,23.0,35.03,1
26.51,81.72,55.83,52.92,0
32.28,39.41,18.47,38.54,1
23.42,85.16,38.15,36.35,1
19.04,36.0,64.11,58.74,0
29.03,70.81,21.25,62.08,1
24.35,50.14,73.89,19.61,0
27.32,80.14,48.78,57.85,0
16.34,78.99,75.34,53.55,0
26.48,76.13,36.96,74.25,1
17.43,43.79,23.43,21.3,1
30.79,75.45,17.32,19.32,1
20.34,34.39,58.1,78.31,0
19.14,51.54,20.75,85.79,1
24.61,73.79,30.23,61.04,1
19.3,46.51,73.32,58.35,0
29.61,51.67,53.16,49.45,0
18.91,43.26,21.97,98.88,1
28.71,63.21,17.74,39.34,1
34.88,56.33,50.57,36.49,0
24.51,70.35,26.59,100.04,1
16.3,39.03,41.52,62.71,1
34.13,50.66,53.9,98.94,1
29.41,64.82,32.72,81.16,1
22.7,58.82,33.13,79.25,1
17.87,36.45,18.32,16.32,1
18.31,67.59,21.55,16.59,1
